dt dx dy dz dyaw dpitch wx wy wz ax ay az gx gy gz gqw gqx gqy gqz
0.09995794  0.12674727 -0.00707724 -0.00167410 -0.01540662 -0.00089817 -0.00146865  0.00728921 -0.01736787 -0.09840300 2.05703020 0.23539019 9.77385235  0.12674727 -0.00707724 -0.00167410 0.99996996 -0.00073776 -0.00044342 -0.00770356
0.11030006  0.14233656 -0.00907774 -0.00157639 -0.02063561 0.00056672 -0.00290861  -0.01135548 -0.00963891 -0.14317577 2.19064569 0.18791446 9.86144543  0.26892841 -0.01834907 -0.00310931 0.99983519 -0.00218211 -0.00014148 -0.01802089
0.09975195  0.16319668 -0.01503607 -0.00224931 -0.02670404 0.00162726 -0.00183476  -0.02485306 0.00533723 -0.19768828 2.23460364 -0.17738791 9.85024357  0.43147770 -0.03926589 -0.00523406 0.99950290 -0.00307143 0.00067140 -0.03136987
0.09997010  0.17589581 -0.02336611 -0.00160192 -0.03345929 0.00273380 -0.00015667  -0.01704168 0.01448474 -0.25028712 2.10089827 -0.35290760 9.91216755  0.60555959 -0.07362624 -0.00689368 0.99883622 -0.00309474 0.00198900 -0.04809004
0.10999584  0.18902512 -0.03018523 -0.00227358 -0.03795629 0.00273924 0.00242328  -0.00334932 0.02441926 -0.31195027 2.02056456 -0.49434376 9.87580395  0.79079974 -0.12184651 -0.00966961 0.99774313 -0.00183121 0.00321521 -0.06704446
0.10001206  0.20295660 -0.03551287 -0.00281786 -0.03985387 0.00102578 0.00297943  0.02292509 0.02300491 -0.35824546 2.00702047 -0.81122339 9.65761757  0.98715806 -0.18420416 -0.01359463 0.99620903 -0.00036627 0.00355955 -0.08691817
0.11006212  0.21585655 -0.03099140 -0.00358196 -0.04384682 0.00161977 -0.00023402  0.02770123 0.00995987 -0.37966946 1.96436739 -0.63220811 9.58834553  1.19435513 -0.25210971 -0.01865183 0.99406099 -0.00047246 0.00436846 -0.10873565
0.09996700  0.23026174 -0.03031135 -0.00288109 -0.04933684 0.00278772 -0.00101695  -0.00259234 0.01721226 -0.42220867 1.91456771 -0.22600259 9.60384274  1.41258514 -0.33148313 -0.02345171 0.99106914 -0.00089831 0.00580464 -0.13321973
0.10995793  0.24418977 -0.03639761 0.00385793 -0.04985656 0.00757237 0.00048309  -0.00654139 0.02911469 -0.46701792 1.70848095 -0.66872007 10.29195595  1.63852549 -0.43107110 -0.02222405 0.98741174 -0.00020644 0.00948088 -0.15788652
0.09997296  0.25733534 -0.05343774 0.00550128 -0.04966184 0.00889422 0.00710624  0.01229375 0.07162949 -0.47318366 1.62932920 -2.03213763 10.58472157  1.86642659 -0.56209654 -0.02134332 0.98312789 0.00386237 0.01319706 -0.18240188
0.10003400  0.26321226 -0.04854474 0.00328550 -0.05453616 0.00471196 0.00428223  0.05922241 0.07696275 -0.47907230 1.51985455 -1.04426098 9.30552101  2.09469795 -0.70182431 -0.02539494 0.97774446 0.00608731 0.01515327 -0.20916286
0.11011100  0.27329060 -0.04145847 0.00443858 -0.05758763 0.00359525 -0.00017836  0.04370209 0.04917957 -0.52013636 1.45777297 -0.36670887 9.25929737  2.32710600 -0.85146284 -0.02998351 0.97128880 0.00598834 0.01708943 -0.23721321
0.09987307  0.28869918 -0.04471372 0.00415821 -0.05804822 0.00492388 -0.00034462  0.00004651 0.03873391 -0.54816312 1.57072759 -1.19224489 9.64214325  2.56265903 -1.02419829 -0.03638996 0.96395147 0.00597692 0.01967497 -0.26528242
0.11000204  0.29897940 -0.05003964 0.00414808 -0.05940222 0.00446550 0.00304316  0.00198468 0.04653448 -0.55538285 1.55727720 -1.59845471 9.63781929  2.79386592 -1.22012174 -0.04458846 0.95559126 0.00749997 0.02153043 -0.29381198
